,Manufacturer,Model,Project Count,Usage Count,Min Unit Cost,Max Unit Cost,Average Unit Cost,Min Unit Price,Max Unit Price,Average Unit Price,Min Unit Labor Hours,Max Unit Labor Hours,Average Unit Labor Hours
Equipment,SNAP AV,SR-CS-RACK-16U,1,2,147.95,147.95,147.95,184.94,184.94,184.94,4,4,4
Equipment,SNAP AV,SR-CS-RACK-21U,2,2,170.95,185.82,178.39,341.95,372.91,357.43,1,4,2.5
Equipment,SNAP AV,SR-CUST-DOOR-27U-GLS,1,1,184.73,184.73,184.73,449.99,449.99,449.99,0,0,0
Equipment,SNAP AV,SR-CUSTOM-27U-20IN,3,3,206.47,206.47,206.47,549.99,549.99,549.99,0,0,0
Equipment,SNAP AV,SR-CUSTOM-37U-24IN,1,1,244.95,244.95,244.95,376.85,376.85,376.85,8,8,8
Equipment,SNAP AV,SR-CUST-SP-27U-20IN,2,2,107.95,107.95,107.95,297.95,297.95,297.95,0.25,0.25,0.25
Equipment,SNAP AV,SR-CUST-SP-37U-24IN,1,1,184.95,184.95,184.95,284.54,284.54,284.54,0.25,0.25,0.25
Equipment,SNAP AV,SR-FANBRACKET-4,3,4,173.86,190.71,184.82,283.08,363.95,327.49,0,0.25,0.19
Equipment,SNAP AV,SR-FS-SYSTEM-DC-42U,1,1,809.96,809.96,809.96,1469,1469,1469,8,8,8
Equipment,SNAP AV,SR-SHELF-2U,2,4,26.95,27.34,27.15,69.95,72.55,71.25,0.25,0.25,0.25
Equipment,SNAP AV,SR-SHELF-FIXED-3U,2,4,33.95,33.95,33.95,79.95,79.95,79.95,0.13,0.13,0.13
Equipment,SNAP AV,SR-WMS-12U,2,2,299.95,318.95,309.45,800,889.95,844.98,2,4,3
Equipment,SNAP AV,SR-WMS-16U,3,3,349.95,349.95,349.95,900,900,900,2,2,2
Equipment,SNAP AV,SR-WMS-24U,6,7,585.95,602.56,590.7,1449.95,1524.19,1471.16,2,4,3.71
Equipment,SNAP AV,SR-WMS-6U,2,2,212.95,212.95,212.95,425.95,425.95,425.95,2,4,3
